app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,wind_dir,wind_gust_spd,wind_spd,weather_description
14.4,289.1,16,2021-04-19:00,3.8,0,0,-4.6,0,,n,0,1010,final,49,1010,0,0,14.4,2021-04-18T20:00:00,2021-04-19T00:00:00,1618790400,0,16,240,4.8,1.5,Few clouds
14.4,299.8,16,2021-04-19:01,2.6,0,0,-14.9,0,,n,0,1011,final,45,1011,0,0,14.4,2021-04-18T21:00:00,2021-04-19T01:00:00,1618794000,0,16,250,5.2,2,Few clouds
13.9,312,50,2021-04-19:02,2.2,0,0,-24.2,0,,n,0,1011,final,45,1011,0,0,13.9,2021-04-18T22:00:00,2021-04-19T02:00:00,1618797600,0,16,260,5.6,2.1,Broken clouds
13.3,326.3,68,2021-04-19:03,3.7,0,0,-31.6,0,,n,0,1011,final,52,1011,0,0,13.3,2021-04-18T23:00:00,2021-04-19T03:00:00,1618801200,0,16,225,5.6,2.1,Broken clouds
12.2,343.1,44,2021-04-19:04,6,0,0,-36.5,0,,n,0,1011,final,66,1011,0,0,12.2,2021-04-19T00:00:00,2021-04-19T04:00:00,1618804800,0,16,190,5.2,2.1,Broken clouds
11.1,1.5,16,2021-04-19:05,5,0,0,-38,0,,n,0,1011,final,66,1011,0,0,11.1,2021-04-19T01:00:00,2021-04-19T05:00:00,1618808400,0,16,200,4.8,1.5,Few clouds
11.7,19.8,3,2021-04-19:06,4.9,0,0,-35.8,0,,n,0,1011,final,63,1011,0,0,11.7,2021-04-19T02:00:00,2021-04-19T06:00:00,1618812000,0,16,245,4.8,2,Few clouds
11.7,36.1,0,2021-04-19:07,3.7,0,0,-30.5,0,,n,0,1011,final,58,1011,0,0,11.7,2021-04-19T03:00:00,2021-04-19T07:00:00,1618815600,0,16,290,3.6,2.6,Clear Sky
11.7,50.1,0,2021-04-19:08,3.2,0,0,-22.7,0,,n,0,1011,final,56,1011,0,0,11.7,2021-04-19T04:00:00,2021-04-19T08:00:00,1618819200,0,16,260,3.2,1.5,Clear Sky
12.8,62,49,2021-04-19:09,3.7,0,0,-13.3,0,,n,0,1011,final,54,1011,0,0,12.8,2021-04-19T05:00:00,2021-04-19T09:00:00,1618822800,0,16,260,2.8,1.6,Broken clouds
11.1,72.4,27,2021-04-19:10,5,0,0,-2.8,0,,n,0,1011,final,66,1011,0,0,11.1,2021-04-19T06:00:00,2021-04-19T10:00:00,1618826400,0,16,260,2.4,1.2,Scattered clouds
10.6,82.1,34,2021-04-19:11,6,47,420,8.3,99,,d,0,1011,final,73,1011,0,97,10.6,2021-04-19T07:00:00,2021-04-19T11:00:00,1618830000,1.4,16,260,2,0.8,Scattered clouds
